data_set,EQW_Value,"Time(Y,M,D,H,M,S)"
1849608i.fits,0.7572979109775448,"(2015, 11, 29, 6, 44, 41)"
1849608p.fits,0.765797074284301,"(2015, 11, 29, 6, 54, 10)"
1849609i.fits,0.6524115473839399,"(2015, 11, 29, 6, 44, 42)"
1849610i.fits,,"(2015, 11, 29, 6, 45, 9)"
1849611i.fits,0.7718733537140782,"(2015, 11, 29, 6, 44, 46)"
2558520p.fits,0.6572096396063211,"(2020, 12, 5, 7, 2, 18)"
2558524p.fits,0.7826850000294434,"(2020, 12, 5, 7, 4, 7)"
2558528p.fits,0.663070481879311,"(2020, 12, 5, 7, 5, 48)"
2558532p.fits,0.7781659520305481,"(2020, 12, 5, 7, 7, 32)"
2558536p.fits,,"(2020, 12, 5, 7, 9, 18)"
2558540p.fits,0.7932963495947233,"(2020, 12, 5, 7, 10, 53)"
2558544p.fits,0.683779968393259,"(2020, 12, 5, 7, 12, 36)"
2558548p.fits,1.319978872728939,"(2020, 12, 5, 7, 14, 16)"
812176i.fits,0.6418342678629826,"(2012, 5, 9, 14, 37, 8)"
812177i.fits,0.7502217555473298,"(2012, 5, 9, 14, 37, 9)"
812178i.fits,0.6438027634466488,"(2012, 5, 9, 14, 43, 0)"
812179i.fits,0.7574043619301357,"(2012, 5, 9, 14, 43, 4)"
813127p.fits,0.6382475900585725,"(2012, 4, 20, 9, 56, 14)"
813131p.fits,0.6357792720384686,"(2012, 4, 20, 9, 42, 17)"
813135p.fits,0.6357067657085526,"(2012, 4, 20, 10, 31, 32)"
813139p.fits,0.7492481954706987,"(2012, 4, 20, 10, 0, 0)"
813143p.fits,0.7428070470692529,"(2012, 4, 20, 11, 22, 10)"
813147p.fits,0.6385819925118045,"(2012, 4, 20, 10, 34, 58)"
813338i.fits,0.807379561112476,"(2012, 4, 20, 8, 17, 3)"
813339i.fits,0.7552713875703104,"(2012, 4, 20, 8, 16, 56)"
813341i.fits,0.7455353732972201,"(2012, 4, 20, 8, 19, 3)"
813342i.fits,,"(2012, 4, 20, 8, 19, 2)"
813343i.fits,0.7554333139520741,"(2012, 4, 20, 8, 19, 1)"
813462i.fits,,"(2012, 4, 20, 8, 10, 51)"
813463i.fits,0.7590928640790202,"(2012, 4, 20, 8, 10, 50)"
813464i.fits,0.7551908931189344,"(2012, 4, 20, 8, 22, 31)"
813466i.fits,0.7611782064766822,"(2012, 4, 20, 8, 22, 20)"
813467i.fits,0.7606826697218841,"(2012, 4, 20, 8, 22, 21)"
813468i.fits,0.7677245874157318,"(2012, 4, 20, 8, 22, 19)"
852267i.fits,0.7529618338585466,"(2012, 3, 14, 13, 20, 16)"
852268i.fits,0.7567578601825551,"(2012, 3, 14, 13, 32, 8)"
852283i.fits,0.6435460768894377,"(2012, 3, 14, 13, 35, 41)"
852284i.fits,,"(2012, 3, 14, 13, 35, 37)"
852459i.fits,0.7429282916928487,"(2012, 3, 14, 17, 5, 53)"
852460i.fits,,"(2012, 3, 14, 17, 5, 53)"
852461i.fits,,"(2012, 3, 14, 17, 5, 53)"
852582i.fits,0.7588353413046485,"(2012, 3, 12, 13, 59, 41)"
852583i.fits,0.644266619815928,"(2012, 3, 12, 14, 10, 40)"
852584i.fits,0.6385437764033121,"(2012, 3, 12, 14, 3, 17)"
852585i.fits,0.6444499206343507,"(2012, 3, 12, 14, 14, 8)"
852694i.fits,0.7420933629004991,"(2012, 3, 16, 9, 12, 36)"
852695i.fits,0.6323467805391327,"(2012, 3, 16, 9, 6, 27)"
852696i.fits,0.739130510201744,"(2012, 3, 16, 9, 6, 22)"
852697i.fits,0.7434574524048672,"(2012, 3, 16, 9, 6, 11)"
